Betreiber,Anleger,Strasse,PLZ,Ort,Gewässer
Yachthafen Marina Wannsee,,Am Grossen Wannsee 4,14109,Berlin,"Untere-Havel-WS, Wannsee"
Tempelhofer Hafen Berlin,,Tempelhofer Damm 227,12099,Berlin,Teltow-Kanal
Bezirksamt Treptow-Köpenick,Seesportclub Berlin-Grünau e. V.,Rohrwallallee 11,12527,Berlin,SOW Langer See
Bezirksamt Treptow-Köpenick,Zeltplatz Kuhle Wampe,Straße zur Krampenburg,12559,Berlin,Große Krampe
Bezirksamt Treptow-Köpenick,Mellowpark,An der Wuhlheide 252,12459,Berlin,SOW
Bezirksamt Treptow-Köpenick,Regattastraße 249,Regattastraße 249,12527,Berlin,SOW (Dahme)
Bezirksamt Treptow-Köpenick,Am Generalshof,Am Generalshof,12555,Berlin,Nebenarm Köpenicker Alte Spree
Bezirksamt Treptow-Köpenick,Insel der Jugend,"Insel der Jugend, Abteibrücke",12435,Berlin,"Nebenarm Spee, Insel der Jugend"
Bezirksamt Treptow-Köpenick,Zum Seeblick,Zum Seeblick,12527,Berlin,SOW
Bezirksamt Treptow-Köpenick,Schmetterlingshorst,Zum Schmetterlingshorst 2,12559,Berlin,SOW
Bezirksamt Treptow-Köpenick,KKC Berlin e. V.,Weiskopffstr. 15,12459,Berlin,SOW
